;B1;B2;B3;B4;B5;B6
X276_13255;186.8008996;82.24457816;430.2898442;1403.130085;1747.664471;834.8303818
X276_13250;164.7786021;81.50363602;449.9367964;1208.25638;1744.080744;731.4604351
X276_13245;78.76209912;104.8433136;134.2901571;163.3471199;150.2179134;150.5947955
X276_13240;89.64370492;60.01631379;49.00943032;101.2791552;143.0504582;92.35081534
X276_13235;4.663545343;12.2255454;22.23775913;19.50707463;21.20372137;26.76074763
X276_13230;22.2813833;14.44837184;9.931426409;14.77808684;13.73762229;17.84049842
X276_13225;165.8149455;107.4366111;208.5599546;565.1140408;583.8489475;405.6089787
X276_13220;95.08450782;50.3840659;176.390769;436.0520824;513.0703283;311.6840018
X276_13215;65.8078065;39.64040479;214.1733695;542.6513488;603.2608051;400.3617733
X276_13210;39.12196371;25.9329751;127.5972393;332.2113922;424.0744274;273.3794022
X276_13205;13.99063603;8.520834674;37.56669989;88.66852105;120.950805;73.46087584
X276_13200;45.34002416;30.74909904;151.3463024;345.2161086;513.9662602;369.4032614
X276_13195;108.816058;34.0833387;181.5723828;498.9082118;639.3967246;446.0124604
X276_13190;31.34938814;11.85507433;53.3274418;133.0027816;142.1545264;110.1913138
X276_13185;357.5384763;605.720204;928.1565681;712.8949093;688.6729785;767.141432
X276_13180;92.75273515;175.2328174;151.562203;118.8158182;90.19047681;77.13391963
X276_13175;205.1959951;364.5435356;333.7822876;231.5233605;182.7701053;151.119516
X276_13170;1688.721586;1434.093523;1469.851108;2410.404485;3888.344397;4336.815277
X276_13165;336.0343505;349.7246927;240.9450407;327.0883221;272.3632942;241.3714492
X276_13160;68.39866503;81.13316494;87.65563309;39.60527274;21.80100929;36.20571738
X276_13155;27.2040145;15.93025613;24.61266545;47.2898779;43.60201859;29.38435033
X276_13150;833.9973588;506.0634854;725.425929;1707.755715;1108.865034;692.631115
X276_13145;121.2521789;85.94928889;238.1383332;452.2094574;91.38505266;51.42261309
X276_13140;99.22988146;125.2192226;192.5833121;335.3640507;272.6619382;274.4288433
X276_13135;3.368116081;2.222826437;4.318011482;23.05381547;37.62913933;28.85962979
X276_13130;1443.626369;1480.031936;1363.196225;750.1356881;1015.986762;1260.903462
X276_13125;260.8994533;327.4964284;422.0856224;310.1427825;293.2683716;632.8129733
X276_13120;3925.409749;867.6432525;549.8987622;922.3496601;1180.838229;922.9834328
X276_13115;4829.87846;1065.474805;360.1221576;623.6352647;1365.400199;1082.498478
X276_13110;34.97659007;45.19747088;63.90656993;71.92002263;69.88268733;57.71925959
X276_13105;67.88049332;128.1829912;113.9955031;94.77679695;99.14979569;94.97441805
X276_13100;66.58506406;102.9909582;86.14432907;56.35377116;84.51624151;78.18336071
X276_13085;19.17235308;50.3840659;31.52148382;20.88636274;24.190161;29.90907088
X276_13080;17.35875211;54.08877663;34.975893;26.206474;28.9684644;30.95851196
X276_13075;40.41739297;91.13588391;64.9860728;56.35377116;57.33964088;66.6395088
X276_13065;27.7221862;45.19747088;36.27129645;34.08812032;31.35761611;29.38435033
X276_13060;18.91326722;47.42029732;36.27129645;32.51179105;22.99558515;28.85962979
X276_13055;67.88049332;113.7346193;95.64395433;87.88035642;68.98675544;65.06534717
X276_13050;77.72575571;139.6675944;115.2909066;86.89515063;48.97760992;52.99677471
X276_13045;113.2205175;170.0462224;148.539595;108.9637603;64.80573996;70.83727313
X276_13040;65.8078065;57.05254521;69.08818371;112.1164188;112.2901301;104.4193878
X276_13035;18.39509552;20.00543793;25.69216832;27.19167979;27.47524459;40.40348171
X276_13030;199.2370205;286.7446103;275.9209337;348.171726;338.9608979;309.5851196
X276_13025;57.77614508;127.8125201;160.6300271;306.7930828;226.6707679;186.2757923
X276_13020;132.3928706;268.2210567;464.6180355;774.962874;654.6275668;500.5833968
X276_13015;1.813600967;5.186595019;8.636022964;12.80767526;15.23084211;11.54385192
X276_13010;3.886287786;4.816123946;8.204221816;10.24614021;13.43897833;10.49441083
X276_13005;1.813600967;5.927537165;4.318011482;7.684605158;12.24440248;8.395528667
X276_13000;3.627201933;7.038950383;8.204221816;13.79288105;16.72406192;18.8899395
X276_12995;0.518171705;3.334239655;2.159005741;8.669810947;5.375591333;3.14832325
X276_12990;1.036343409;2.222826437;2.159005741;7.684605158;1.791863778;2.623602708
